epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,3.9119535636901857,0.023333333333333334,0.01599449771596257,3.9119293975830076,0.0525,0.019070227511161143
2,3.911824804941813,0.028333333333333332,0.022230771386805643,3.911681652069092,0.035,0.02030977730625514
3,3.9108343823750813,0.035833333333333335,0.027542729993456014,3.9090064334869385,0.0325,0.009057687564741282
4,3.908305476506551,0.02666666666666667,0.012114573448111851,3.9039126014709473,0.0225,0.004788177339901478
5,3.896332483291626,0.03,0.012916261795037349,3.8895601558685304,0.045,0.012031558050878823
6,3.845593837102254,0.02,0.012626133357004576,3.8306815147399904,0.0225,0.003936890907370613
7,3.7925284894307456,0.0375,0.01617056100644881,3.786089925765991,0.025,0.003333333333333333
8,3.7429774316151936,0.0325,0.011516973462356708,3.6972027111053465,0.0325,0.00920249844209672
9,3.678551117579142,0.07166666666666667,0.05898283747912104,3.659825773239136,0.055,0.010410738749820903
10,3.6269611167907714,0.07916666666666666,0.0711112044674646,3.6374278354644773,0.085,0.047126000606017404
11,3.6136194038391114,0.07916666666666666,0.06161294741063271,3.6513049697875974,0.105,0.062427232897821136
12,3.5943948237101235,0.09083333333333334,0.07702473480114799,3.604962902069092,0.1,0.05971813627250513
13,3.553230358759562,0.1275,0.1103510298136972,3.5551353168487547,0.11,0.08155027913124098
14,3.521163460413615,0.16083333333333333,0.1470948368500867,3.55828125,0.1925,0.1569496494989497
15,3.504422076543172,0.19083333333333333,0.16764667707915365,3.522080240249634,0.19,0.1283638292981985
16,3.471088924407959,0.22333333333333333,0.1951987446326337,3.546436462402344,0.1925,0.1405979580073347
17,3.461834462483724,0.23416666666666666,0.21271619614434215,3.5092646789550783,0.1775,0.12229211746516416
18,3.4579767608642578,0.22166666666666668,0.18895596967968933,3.525306587219238,0.215,0.15943005394056697
19,3.4457654476165773,0.2525,0.2261241513063386,3.504505825042725,0.235,0.18211320897079664
20,3.437716302871704,0.25083333333333335,0.23321168330680123,3.501812219619751,0.205,0.1682293488178756
21,3.4215330568949383,0.26666666666666666,0.23340659031582725,3.5036169052124024,0.21,0.18186738641471392
22,3.4084511947631837,0.3,0.2833381418897223,3.5025384998321534,0.255,0.2045110400263651
23,3.411430943806966,0.28833333333333333,0.2630058094477939,3.4869920444488525,0.2425,0.18688567032589495
24,3.3925066566467286,0.305,0.2941146889274064,3.476660671234131,0.215,0.20098271721966895
25,3.3744041760762533,0.3491666666666667,0.33760912556389294,3.489128828048706,0.2375,0.21091410660826654
26,3.376243422826131,0.3458333333333333,0.3360000898991611,3.512833023071289,0.2475,0.21200217962681397
27,3.3803131834665936,0.30833333333333335,0.2931811377865559,3.4650065994262693,0.2475,0.2129543016292056
28,3.371558519999186,0.2875,0.28215509807716155,3.510093479156494,0.17,0.1257312805447392
29,3.3574498081207276,0.29083333333333333,0.28482087992813354,3.45385950088501,0.23,0.19008264671345163
30,3.3461906655629474,0.31416666666666665,0.3137781861414231,3.4873558616638185,0.155,0.12212990762243688
31,3.349341983795166,0.3025,0.3044422789796059,3.473668336868286,0.27,0.24502272396842323
32,3.3368107414245607,0.3516666666666667,0.34803259746704485,3.4740468502044677,0.2325,0.19385955842311017
33,3.342716646194458,0.2925,0.2991560095677711,3.469921293258667,0.225,0.18350508008615424
34,3.331659558614095,0.35333333333333333,0.346234528109529,3.4769036674499514,0.2975,0.26023692520377506
35,3.32148299853007,0.39666666666666667,0.3960883915380121,3.503756866455078,0.2275,0.1849463596367027
