epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,3.9120122400919595,0.021666666666666667,0.014155158954947717,3.912034692764282,0.0225,0.00184382161114049
2,3.91201252301534,0.020833333333333332,0.009865951313219722,3.9119035243988036,0.02,0.0007862407862407862
3,3.912572285334269,0.013333333333333334,0.00576265229908361,3.911355333328247,0.025,0.002851063829787234
4,3.914532111485799,0.025,0.00559875333312327,3.92565486907959,0.02,0.000784313725490196
5,3.9190292008717855,0.0225,0.00475692551433672,3.917641773223877,0.02,0.000784313725490196
6,3.9238934326171875,0.014166666666666666,0.003315056096974356,3.9249580764770506,0.02,0.000784313725490196
7,3.9309617265065513,0.016666666666666666,0.0029378998582538407,3.921285228729248,0.02,0.000784313725490196
8,3.931741418838501,0.024166666666666666,0.003635099622761718,3.91953631401062,0.02,0.0008060453400503779
9,3.938515780766805,0.016666666666666666,0.003826033853899452,3.9169091415405273,0.02,0.000784313725490196
