epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,3.894073740641276,0.0225,0.009143467002372256,3.760154781341553,0.04,0.0036706097044351027
2,3.6796680895487466,0.035,0.021541708806123862,3.504334182739258,0.0425,0.00918560001976466
3,3.5688950125376384,0.035,0.024311964350130773,3.4697889518737792,0.0425,0.009947939840313325
4,3.516272885004679,0.04833333333333333,0.03584652085335393,3.382936134338379,0.06,0.020637392665077428
5,3.373581148783366,0.07666666666666666,0.05857111970740826,3.155551176071167,0.095,0.03433490713490714
6,3.2576369285583495,0.07916666666666666,0.05331911726293674,3.0503857803344725,0.1325,0.07152320147233591
7,3.1254996490478515,0.1025,0.07922000625189726,3.004697895050049,0.1575,0.09871414833781265
8,3.0394092273712157,0.12,0.0986159376464721,2.8877248764038086,0.18,0.11445581944355808
9,2.9274616781870524,0.14166666666666666,0.11261854086859552,2.8350141525268553,0.195,0.13617027309255345
10,2.8194891770680743,0.1625,0.13853292753506619,2.6945275115966796,0.2225,0.15074938026755044
11,2.7494588534037274,0.185,0.15823520717408343,2.7168414783477783,0.2025,0.14839001502069085
12,2.72910665512085,0.17916666666666667,0.15396353306738375,2.6782325744628905,0.2425,0.17884594207755045
13,2.71990483601888,0.19333333333333333,0.1629530164825871,2.582739734649658,0.2675,0.20751283018243577
14,2.586741771697998,0.215,0.18435927705548924,2.598983211517334,0.245,0.19348673008134112
15,2.54835342725118,0.23333333333333334,0.20458818294553743,2.522293109893799,0.2625,0.20622499989227858
16,2.4409911155700685,0.26416666666666666,0.24079723542436343,2.467037630081177,0.3,0.22511238407651504
17,2.3785350545247397,0.26416666666666666,0.233984295940405,2.49243709564209,0.2775,0.2263388816620908
18,2.3553158378601076,0.2941666666666667,0.2711275090753775,2.413338623046875,0.3025,0.24419744840302623
19,2.321965465545654,0.29333333333333333,0.27106913042283,2.4354496955871583,0.315,0.2553315485698848
20,2.292477903366089,0.30666666666666664,0.28678399913445585,2.4676195001602172,0.33,0.2666999069904413
21,2.2192322572072345,0.33166666666666667,0.3013745713767078,2.397481622695923,0.355,0.3055267908619302
22,2.2085974629720053,0.3225,0.3031315402223422,2.4155061531066893,0.3375,0.2721477490837564
23,2.133553269704183,0.3458333333333333,0.3203258134607074,2.3585603618621827,0.3525,0.30979242783908284
24,2.0806912167867027,0.37416666666666665,0.35451833174358777,2.34686861038208,0.34,0.29338696753957216
25,2.0597025966644287,0.3591666666666667,0.34324432632005275,2.36969313621521,0.3675,0.3235533646827091
26,2.0453576787312824,0.3525,0.33128209235476447,2.3554251194000244,0.3375,0.2975795384775059
27,1.932126801808675,0.3933333333333333,0.3746355140938371,2.3652995872497558,0.365,0.32556017665498077
28,1.921862088839213,0.41833333333333333,0.39850465173839517,2.365850667953491,0.35,0.31631417278622825
29,1.8808707825342814,0.39416666666666667,0.3780222259950136,2.340061683654785,0.365,0.3195176505835141
30,1.868255386352539,0.4266666666666667,0.41305926457494635,2.262239246368408,0.39,0.3451355910268819
31,1.7881692361831665,0.4325,0.4145189775517523,2.35395094871521,0.37,0.33039732891857
32,1.7490274556477865,0.43583333333333335,0.42278004638236927,2.2362199211120606,0.4375,0.3934521274102376
33,1.704458958307902,0.4658333333333333,0.4509064961223808,2.2705386590957644,0.405,0.36979581035318015
34,1.729336716334025,0.4608333333333333,0.4445209535805692,2.266470365524292,0.39,0.3553853433998137
35,1.6116228421529135,0.5041666666666667,0.4920193772479724,2.282425112724304,0.43,0.3928772189706366
36,1.6364337666829427,0.4683333333333333,0.46027987099169293,2.271922507286072,0.4075,0.37264698467599144
37,1.5302828693389892,0.5258333333333334,0.5104934488193456,2.2969891595840455,0.4225,0.38678756047002105
38,1.4928830591837565,0.5266666666666666,0.5128579164535142,2.235187063217163,0.4225,0.3841734344174042
39,1.5015143569310505,0.5258333333333334,0.5143488968208508,2.2105795907974244,0.4325,0.39574783040902295
40,1.4104748137791951,0.5508333333333333,0.5364065026909721,2.207470941543579,0.4375,0.415262367731031
41,1.3755009778340657,0.55,0.5397922404522651,2.270966606140137,0.41,0.37452111400586974
42,1.4166807095209757,0.5358333333333334,0.5230790709455235,2.279342451095581,0.4275,0.3937218918879438
43,1.3410111061731975,0.5641666666666667,0.5544769387558955,2.3605778932571413,0.425,0.38796084901274036
44,1.3350063133239747,0.5633333333333334,0.5515891971793043,2.242996234893799,0.455,0.42459174592177695
45,1.2826861031850179,0.5741666666666667,0.5666119509496703,2.341841640472412,0.4675,0.4272509558468234
46,1.2315942891438802,0.595,0.5875838358150175,2.1995160293579104,0.475,0.4529070948166115
47,1.2300069030125935,0.5883333333333334,0.5779501274025782,2.2959024572372435,0.4525,0.42156533893063974
48,1.1923183568318685,0.6141666666666666,0.6084013977796464,2.2925797438621522,0.4675,0.44220606819482844
49,1.1517857837677001,0.615,0.6087830160861855,2.409966163635254,0.4625,0.4279527841895321
50,1.2005777565638225,0.6041666666666666,0.5992574184245231,2.522394781112671,0.42,0.38663298933608536
51,1.1575006500879923,0.6183333333333333,0.6128424416286429,2.631886796951294,0.4575,0.4380401153071365
52,1.1010648584365845,0.6366666666666667,0.6310463231696247,2.2262806606292727,0.49,0.4681629497093893
