epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,3.9109024874369305,0.0225,0.008389746401374765,3.906901969909668,0.025,0.002730030333670374
2,3.8372275416056314,0.030833333333333334,0.010610371206333579,3.8290117263793944,0.035,0.007341268232485887
3,3.749279108047485,0.0375,0.017641602776060594,3.647275218963623,0.0375,0.00375170905113481
4,3.6890424728393554,0.04083333333333333,0.02236552249606099,3.68534707069397,0.04,0.008798924307556749
5,3.685491027832031,0.03666666666666667,0.019792733937369605,3.652750940322876,0.0475,0.011077339744918403
6,3.6423736063639325,0.0375,0.01660798002089291,3.6106066036224367,0.06,0.02264006326996978
7,3.635288111368815,0.051666666666666666,0.03098169521594191,3.5902293872833253,0.0625,0.02075773517262879
8,3.607400722503662,0.0425,0.02921842520588678,3.5713547134399413,0.0575,0.013525215504395725
9,3.5833934529622398,0.04583333333333333,0.026867328727818943,3.5714928817749025,0.06,0.019828229976719493
10,3.591901321411133,0.055,0.034801229405921806,3.5691876125335695,0.0575,0.027181204470164984
11,3.5726450157165526,0.04,0.024389557983272855,3.5426453495025636,0.0825,0.03821939289381469
12,3.5979115994771322,0.051666666666666666,0.03476044822595628,3.5603820133209227,0.0675,0.023239466433902938
13,3.5405406252543132,0.060833333333333336,0.039630915054914964,3.512479667663574,0.08,0.042360016372073976
14,3.531705169677734,0.06,0.039990101538973664,3.491435432434082,0.0725,0.031123449580976913
15,3.4942552502950033,0.06166666666666667,0.03811203134659723,3.4521987724304197,0.095,0.044719783747175106
16,3.482786521911621,0.058333333333333334,0.04470261541855015,3.4764695739746094,0.085,0.04551559551559551
17,3.4743955103556314,0.07666666666666666,0.05607927202981894,3.456992120742798,0.085,0.041625987841039255
18,3.437945785522461,0.08083333333333333,0.06021870383764859,3.4433031845092774,0.1,0.049590270804796555
19,3.4210835552215575,0.07166666666666667,0.05360342939099794,3.453699312210083,0.0775,0.038361823114352586
20,3.428872594833374,0.07,0.05476721882806312,3.4429956817626954,0.1025,0.0593471345249681
21,3.4131246280670164,0.0925,0.06930619731404505,3.4271043395996093,0.1025,0.05668500485645393
22,3.383495791753133,0.085,0.07200418079157972,3.416627788543701,0.0975,0.05231927418382451
23,3.361442101796468,0.08916666666666667,0.06837201200236505,3.4112730598449708,0.095,0.05388006030899563
24,3.3571041361490885,0.09,0.07131247528016918,3.4043816184997557,0.0925,0.0558540810328585
25,3.32655148824056,0.0925,0.07476469541059286,3.386587200164795,0.0875,0.05273100462755636
26,3.265582478841146,0.09666666666666666,0.0780607721731569,3.3836680316925047,0.09,0.05700300306582955
27,3.2679544576009114,0.10916666666666666,0.08918239639017479,3.353777303695679,0.105,0.06491628061672838
28,3.24308819770813,0.10666666666666667,0.09341660780050877,3.3623658180236817,0.1025,0.06614728975289545
29,3.2216185824076335,0.11166666666666666,0.09324457116502372,3.3858753776550294,0.0975,0.06310274588535458
30,3.2315657901763917,0.11833333333333333,0.09753111675154388,3.3656332015991213,0.0975,0.06288526037442446
31,3.191816870371501,0.11416666666666667,0.09479190598068786,3.323460464477539,0.1225,0.08776894219896249
32,3.140957749684652,0.13,0.11307504139906371,3.390978021621704,0.1025,0.0715189110355213
33,3.084463243484497,0.1475,0.1316068036323403,3.3470513153076173,0.1025,0.07564426172955585
34,3.078502000172933,0.14,0.12561758941743661,3.300106239318848,0.095,0.06535988353788864
35,3.057043088277181,0.15083333333333335,0.13330720715586225,3.406975154876709,0.1125,0.09760612622397519
36,3.050992596944173,0.15916666666666668,0.14327766725193503,3.3015968894958494,0.115,0.09544686106411625
37,3.0321293608347575,0.17333333333333334,0.15549617175848116,3.470877180099487,0.1025,0.07082972585508593
38,3.003117539087931,0.15416666666666667,0.14061828420572803,3.357505283355713,0.13,0.11308839920998599
39,2.940715042750041,0.15916666666666668,0.13596486619156198,3.3436919116973876,0.11,0.0779707572560441
40,2.9459739271799723,0.17416666666666666,0.15663799123501992,3.3624377822875977,0.125,0.09667238697781254
