epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,3.9042341041564943,0.024166666666666666,0.010170476866110225,3.7767027187347413,0.04,0.008647032989743987
2,3.755269864400228,0.03,0.01591582628496846,3.664932689666748,0.0375,0.004325313031195384
3,3.6805164655049643,0.0275,0.01655493797502547,3.6212251472473143,0.0425,0.00704057176099061
4,3.639214995702108,0.041666666666666664,0.02457551637770158,3.5967661857604982,0.0375,0.005489425254131137
5,3.6193337790171305,0.041666666666666664,0.02545271207190219,3.608176422119141,0.04,0.007196838249469828
6,3.606008555094401,0.0425,0.020972215654522532,3.564507369995117,0.0425,0.0061641233082622895
7,3.5763935216267906,0.03833333333333333,0.02196706374165425,3.547427577972412,0.0475,0.009521602470703976
8,3.5908618450164793,0.050833333333333335,0.03138287072744299,3.5175262260437012,0.0475,0.007058723707075439
9,3.5590275700887046,0.05,0.03266436337172223,3.51529504776001,0.0525,0.010119099212495557
10,3.547074947357178,0.05416666666666667,0.032769864906156736,3.488066482543945,0.0525,0.010938993555140573
11,3.504661210378011,0.05333333333333334,0.03749378476639204,3.4272191429138186,0.0675,0.018966136369754236
12,3.4399865531921385,0.07583333333333334,0.05490318702630996,3.40673623085022,0.1025,0.047567797297222845
13,3.4188857650756836,0.07916666666666666,0.056369814183368686,3.3136764907836915,0.11,0.05127944270138451
14,3.3390203126271567,0.08,0.05618342021015787,3.2848406410217286,0.0975,0.04624759566332504
15,3.295807275772095,0.09416666666666666,0.0663803629909374,3.289814929962158,0.085,0.0389386763045593
16,3.2686805820465086,0.09666666666666666,0.07017032884215374,3.270715522766113,0.0975,0.044897852625477706
17,3.2299840609232584,0.09583333333333334,0.0704801263363945,3.1952020072937013,0.1175,0.058449554630272245
18,3.188893124262492,0.10666666666666667,0.08424942708811965,3.1656797981262206,0.1175,0.07247011786344446
19,3.1487161858876545,0.115,0.09306586925948653,3.1551718521118164,0.125,0.061920624523039064
20,3.115159765879313,0.12166666666666667,0.09692422116076871,3.0983012390136717,0.14,0.09216816097506828
21,3.0792764027913413,0.11166666666666666,0.08754403975937526,3.093043727874756,0.1275,0.07376720842787671
22,3.0799459807078042,0.12333333333333334,0.0927340379031521,3.042893857955933,0.14,0.0824635239062106
23,3.0512570921579996,0.12666666666666668,0.10462018824551005,3.049398365020752,0.1575,0.11259629949097494
24,3.003864247004191,0.14583333333333334,0.11769129449065614,3.0818470764160155,0.1475,0.10784621675713225
25,2.9096258958180745,0.15333333333333332,0.12114936092039291,2.9393311977386474,0.2,0.1484019112077738
26,2.908524071375529,0.1625,0.13411085358896163,2.9398622512817383,0.1525,0.10441028927684276
27,2.863088550567627,0.1825,0.15345936200266486,2.9483393383026124,0.1875,0.13399207808446068
28,2.838623587290446,0.17916666666666667,0.1526669971648526,2.99073091506958,0.1825,0.13619388861588352
29,2.8612678750356038,0.17833333333333334,0.14674446833013957,2.9471700859069823,0.1875,0.13857773174637128
30,2.824213733673096,0.18666666666666668,0.1568535164132765,2.9297501277923583,0.1925,0.1511192908124599
31,2.796996866861979,0.17833333333333334,0.14407361889456,2.8816263389587404,0.19,0.14342081496632886
32,2.7094167041778565,0.22416666666666665,0.18698932034831806,2.8639302158355715,0.235,0.20363706877507926
33,2.7241518847147623,0.18416666666666667,0.16334988145319174,2.879241189956665,0.2075,0.16613263818085724
34,2.7141066360473634,0.2025,0.17175064980846866,2.8537886333465576,0.22,0.1769494376619427
35,2.644333868026733,0.22416666666666665,0.19563987257548476,2.8917309856414795,0.1925,0.1532413749473416
36,2.657401739756266,0.205,0.17797435945257803,2.8405295467376708,0.21,0.18376791179575483
37,2.653207613627116,0.21916666666666668,0.18580894559731778,2.8731053638458253,0.2075,0.1697869213121288
38,2.570831724802653,0.2425,0.2101646662445886,2.8169743251800536,0.2175,0.18126677599536742
39,2.5055208237965902,0.25666666666666665,0.22701563302743644,2.836454496383667,0.225,0.1911428214793073
40,2.5400365289052327,0.24916666666666668,0.22804920922315539,2.797721366882324,0.2475,0.21543573727314785
41,2.4901859855651853,0.2525,0.2238153899026667,2.773857145309448,0.2275,0.1920118942319104
42,2.5197650305430095,0.24916666666666668,0.22387285182097952,2.7784814453125,0.255,0.22707333600688162
43,2.473300495147705,0.2683333333333333,0.246469125844332,2.8638322353363037,0.2275,0.18152937654686382
44,2.400202973683675,0.2791666666666667,0.2562943774311581,2.764633550643921,0.245,0.21436020385546567
45,2.4129597822825115,0.2808333333333333,0.25319243957763055,2.811017894744873,0.235,0.21004616669069592
46,2.3093444442749025,0.3175,0.2988775759772307,2.8938171672821045,0.23,0.19549124174104737
47,2.3452145926157635,0.30083333333333334,0.278923795849933,2.8804957389831545,0.2225,0.2023547506286906
48,2.312841389973958,0.2875,0.2732803835595364,2.849973030090332,0.255,0.2249371723803728
49,2.30468292872111,0.31166666666666665,0.295709123515219,2.7782059955596923,0.27,0.24868906118036552
50,2.2206708288192747,0.30416666666666664,0.2883560312282051,2.8414485836029053,0.2275,0.20497890047265468
